Year,Australia,Austria,Belgium,Canada,Chile,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Japan,Korea,Luxembourg,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,Slovakia,Slovenia,Spain,Sweden,Switzerland,Turkey,United Kingdom,United States,OECD34
1980-85,1.91,1.596,1.596,1.634,2.671,2.005,1.427,2.09,1.685,1.865,1.464,1.96,1.823,2.225,2.755,3.134,1.536,1.752,2.234,1.465,4.25,1.515,1.973,1.687,2.33,2.008,2.271,1.87,1.88,1.643,1.537,4.07,1.775,1.804,2.042352941
1990-95,1.86,1.484,1.612,1.694,2.55,1.656,1.748,1.627,1.819,1.715,1.301,1.37,1.74,2.191,1.905,2.933,1.281,1.476,1.696,1.663,3.163,1.582,2.067,1.886,1.89,1.505,1.867,1.358,1.28,2.006,1.537,2.869,1.775,2.03,1.827529412
2000-05,1.753,1.38,1.684,1.516,2,1.187,1.76,1.391,1.754,1.882,1.351,1.281,1.295,1.994,1.965,2.911,1.254,1.298,1.219,1.654,2.544,1.726,1.949,1.806,1.266,1.451,1.22,1.226,1.29,1.67,1.408,2.331,1.655,2.042,1.650382353
2010-15,1.878,1.466,1.848,1.663,1.826,1.551,1.876,1.586,1.85,1.976,1.415,1.52,1.405,2.081,1.996,2.911,1.478,1.414,1.316,1.67,2.201,1.772,2.05,1.927,1.41,1.318,1.389,1.498,1.496,1.92,1.527,2.053,1.885,1.972,1.739529412
2020-25,1.867,1.574,1.887,1.737,1.773,1.712,1.905,1.714,1.865,1.984,1.502,1.614,1.527,1.996,1.987,2.687,1.614,1.536,1.458,1.739,1.944,1.81,1.939,1.932,1.532,1.379,1.516,1.6,1.625,1.953,1.618,1.89,1.892,1.979,1.773147059
2030-35,1.861,1.655,1.912,1.785,1.773,1.803,1.921,1.789,1.877,1.987,1.568,1.686,1.619,1.934,1.979,2.494,1.704,1.625,1.567,1.784,1.796,1.839,1.875,1.935,1.624,1.486,1.612,1.675,1.709,1.972,1.686,1.796,1.895,1.984,1.800205882
2040-45,1.859,1.713,1.928,1.819,1.786,1.856,1.933,1.835,1.886,1.988,1.619,1.736,1.685,1.897,1.975,2.331,1.764,1.692,1.647,1.816,1.74,1.855,1.842,1.94,1.689,1.578,1.68,1.731,1.768,1.981,1.737,1.759,1.897,1.987,1.822029412
2050-55,1.86,1.757,1.937,1.843,1.803,1.89,1.941,1.863,1.893,1.99,1.66,1.775,1.736,1.876,1.972,2.189,1.804,1.741,1.706,1.835,1.74,1.871,1.828,1.94,1.738,1.653,1.731,1.77,1.805,1.987,1.774,1.753,1.901,1.989,1.847102941
2060-65,1.863,1.789,1.945,1.86,1.821,1.912,1.945,1.882,1.899,1.99,1.691,1.804,1.773,1.866,1.971,2.083,1.834,1.778,1.749,1.85,1.759,1.878,1.83,1.942,1.774,1.71,1.769,1.8,1.834,1.991,1.802,1.765,1.903,1.99,1.854470588
