gdp_ann,Johnson,Nixon,Ford,Carter,Reagan,G. Bush,Clinton,Bush,Obama
861.7,0.397,,,,,,,,
942.5,0.386,,,,,,,,
1019.9,0.391,,,,,,,,
1075.9,,0.394,,,,,,,
1167.8,,0.396,,,,,,,
1282.4,,0.401,,,,,,,
1428.6,,0.4,,,,,,,
1548.8,,0.395,,,,,,,
1688.9,,,0.397,,,,,,
1877.6,,,0.398,,,,,,
2086,,,0.402,,,,,,
2356.6,,,,0.402,,,,,
2632.2,,,,0.404,,,,,
2862.5,,,,0.403,,,,,
3210.9,,,,0.406,,,,,
3345,,,,,0.412,,,,
3638.1,,,,,0.414,,,,
4040.7,,,,,0.415,,,,
4346.8,,,,,0.419,,,,
4590.1,,,,,0.425,,,,
4870.2,,,,,0.426,,,,
5252.6,,,,,0.426,,,,
5657.7,,,,,0.431,,,,
5979.6,,,,,,0.428,,,
6174,,,,,,0.428,,,
6539.3,,,,,,0.433,,,
6878.7,,,,,,0.454,,,
7308.7,,,,,,,0.456,,
7664.1,,,,,,,0.45,,
8100.2,,,,,,,0.455,,
8608.5,,,,,,,0.459,,
9089.1,,,,,,,0.456,,
9665.7,,,,,,,0.458,,
10289.7,,,,,,,0.462,,
10625.3,,,,,,,0.466,,
10980.2,,,,,,,,0.462,
11512.3,,,,,,,,0.464,
12277,,,,,,,,0.466,
13095.4,,,,,,,,0.469,
13857.9,,,,,,,,0.47,
14480.4,,,,,,,,0.463,
14720.3,,,,,,,,0.466,
14418,,,,,,,,0.468,
14958.3,,,,,,,,,0.47
15533.8,,,,,,,,,0.477
16244.6,,,,,,,,,0.477
