state,name,lat,lon
Alabama,Emma,32.799,-86.8073
Alaska,Emma,61.385,-152.2683
Arizona,Sophia,33.7712,-111.3877
Arkansas,Emma,34.9513,-92.3809
California,Sophia,36.17,-119.7462
Colorado,Olivia,39.0646,-105.3272
Connecticut,Olivia,41.5834,-72.7622
Delaware,Ava,39.3498,-75.5148
Florida,Isabella,27.8333,-81.717
Georgia,Emma,32.9866,-83.6487
Hawaii,Olivia,21.1098,-157.5311
Idaho,Emma,44.2394,-114.5103
Illinois,Olivia,40.3363,-89.0022
Indiana,Sophia,39.8647,-86.2604
Iowa,Emma,42.0046,-93.214
Kansas,Emma,38.5111,-96.8005
Kentucky,Emma,37.669,-84.6514
Louisiana,Ava,31.1801,-91.8749
Maine,Sophia,44.6074,-69.3977
Maryland,Sophia,39.0724,-76.7902
Massachusetts,Emma,42.2373,-71.5314
Michigan,Emma,43.3504,-84.5603
Minnesota,Olivia,45.7326,-93.9196
Mississippi,Ava,32.7673,-89.6812
Missouri,Emma,38.4623,-92.302
Montana,Emma,46.9048,-110.3261
Nebraska,Emma,41.1289,-98.2883
Nevada,Sophia,38.4199,-117.1219
New Hampshire,Emma,43.4108,-71.5653
New Jersey,Isabella,40.314,-74.5089
New Mexico,Sophia,34.8375,-106.2371
New York,Sophia,42.1497,-74.9384
North Carolina,Emma,35.6411,-79.8431
North Dakota,Emma,47.5362,-99.793
Ohio,Emma,40.3736,-82.7755
Oklahoma,Emma,35.5376,-96.9247
Oregon,Emma,44.5672,-122.1269
Pennsylvania,Emma,40.5773,-77.264
Rhode Island,Sophia,41.6772,-71.5101
South Carolina,Emma,33.8191,-80.9066
South Dakota,Emma,44.2853,-99.4632
Tennessee,Emma,35.7449,-86.7489
Texas,Sophia,31.106,-97.6475
Utah,Olivia,40.1135,-111.8535
Vermont,Olivia,44.0407,-72.7093
Virginia,Emma,37.768,-78.2057
Washington,Emma,47.3917,-121.5708
West Virginia,Emma,38.468,-80.9696
Wisconsin,Emma,44.2563,-89.6385
Wyoming,Sophia,42.7475,-107.2085
