state,2012,2011,2010,2009,2008,2007,2006
Alabama,33,32,33,31.6,32.2,30.9,30.5
Alaska,25.7,27.4,25.2,25.4,27.1,28.2,26.2
Arizona,26,25.1,25.2,25.9,25.6,25.8,22.9
Arkansas,34.5,30.9,30.9,31.5,29.5,29.3,26.9
California,25,23.8,24.7,25.5,24.3,23.3,23.3
Colorado,20.5,20.7,21.4,19,19.1,19.3,18.2
Connecticut,25.6,24.5,23,21,21.4,21.7,20.6
Delaware,26.9,28.8,28.7,27.6,27.8,28.2,26
Florida,25.2,26.6,27.2,26.5,25.2,24.1,23.1
Georgia,29.1,28,30.4,27.7,27.8,28.7,27.1
Hawaii,23.6,21.9,23.1,22.9,23.1,21.7,20.6
Idaho,26.8,27.1,26.9,25.1,25.2,25.1,24.1
Illinois,28.1,27.1,28.7,27.4,26.9,25.6,25.1
Indiana,31.4,30.8,30.2,30,27,27.4,27.8
Iowa,30.4,29,29.1,28.5,26.7,27.7,25.7
Kansas,29.9,29.6,30.1,28.8,28.1,27.7,25.9
Kentucky,31.3,30.4,31.8,32.4,30.3,28.7,28
Louisiana,34.7,33.4,31.7,33.9,29,30.7,27.1
Maine,28.4,27.8,27.4,26.4,25.9,25.2,23.1
Maryland,27.6,28.3,27.9,26.8,26.7,26.3,24.9
Massachusetts,22.9,22.7,23.6,21.8,21.5,21.7,20.3
Michigan,31.1,31.3,31.7,30.3,29.5,28.2,28.8
Minnesota,25.7,25.7,25.4,25.4,25.2,26,24.7
Mississippi,34.6,34.9,34.5,35.4,33.4,32.6,31.4
Missouri,29.6,30.3,31.4,30.6,29.1,28.2,27.2
Montana,24.3,24.6,23.5,23.7,24.3,22.6,21.2
Nebraska,28.6,28.4,27.5,28.1,27.2,26.5,26.9
Nevada,26.2,24.5,23.1,26.4,25.6,24.6,25
New Hampshire,27.3,26.2,25.5,26.3,24.9,25.1,22.4
New Jersey,24.6,23.7,24.8,23.9,23.6,24.1,22.6
New Mexico,27.1,26.3,25.6,25.6,25.7,25.1,22.9
New York,23.6,24.5,24.5,24.6,25.1,25.5,22.9
North Carolina,29.6,29.1,28.6,30.1,29.5,28.7,26.6
North Dakota,29.7,27.8,27.9,28.4,27.8,27,25.4
Ohio,30.1,29.7,29.7,29.8,29.3,28.1,28.4
Oklahoma,32.2,31.1,31.3,32,31,28.8,28.8
Oregon,27.3,26.7,27.6,23.6,25,26.3,24.8
Pennsylvania,29.1,28.6,29.2,28.1,28.4,27.8,24
Rhode Island,25.7,25.4,26,24.9,22.1,21.7,21.4
South Carolina,31.6,30.8,32,30.1,30.7,29,29.4
South Dakota,28.1,28.1,27.7,30.3,28.1,27.2,25.4
Tennessee,31.1,29.2,31.7,32.9,31.2,30.7,28.8
Texas,29.2,30.4,31.7,0,28.9,28.6,26.1
Utah,24.3,24.4,23,0,23.1,22.4,21.9
Vermont,23.7,25.4,23.9,0,23.3,21.9,21.2
Virginia,27.4,29.2,26.4,0,25.8,25.3,25.1
Washington,26.8,26.5,26.2,0,26,25.9,24.2
West Virginia,33.8,32.4,32.9,0,31.9,30.3,31
Wisconsin,29.7,27.7,26.9,0,26.1,25.3,26.6
Wyoming,24.6,25,25.7,0,25.2,24.5,23.3
