State,Score,text
West Virginia,61.4,Lower than Nation average of 66.2
Kentucky,63,Lower than Nation average of 66.2
Mississippi,63.7,Lower than Nation average of 66.2
Alabama,64.1,Lower than Nation average of 66.2
Ohio,64.2,Lower than Nation average of 66.2
Arkansas,64.3,Lower than Nation average of 66.2
Tennessee,64.3,Lower than Nation average of 66.2
Missouri,64.5,Lower than Nation average of 66.2
Oklahoma,64.7,Lower than Nation average of 66.2
Indiana,64.9,Lower than Nation average of 66.2
Louisiana,64.9,Lower than Nation average of 66.2
Rhode Island,65.2,Lower than Nation average of 66.2
South Carolina,65.3,Lower than Nation average of 66.2
Michigan,65.4,Lower than Nation average of 66.2
New York,65.5,Lower than Nation average of 66.2
Pennsylvania,65.5,Lower than Nation average of 66.2
Wyoming,65.6,Lower than Nation average of 66.2
New Mexico,65.7,Lower than Nation average of 66.2
North Carolina,65.8,Lower than Nation average of 66.2
Connecticut,65.9,Lower than Nation average of 66.2
Florida,66.2,Close to Nation Average of 66.2
Idaho,66.3,Close to Nation Average of 66.2
Delaware,66.5,Close to Nation Average of 66.2
Georgia,66.6,Close to Nation Average of 66.2
Nevada,66.6,Close to Nation Average of 66.2
Oregon,66.7,Close to Nation Average of 66.2
Virginia,66.8,Close to Nation Average of 66.2
Illinois,66.9,Close to Nation Average of 66.2
Kansas,66.9,Close to Nation Average of 66.2
New Jersey,66.9,Close to Nation Average of 66.2
Texas,66.9,Close to Nation Average of 66.2
Arizona,67.2,Close to Nation Average of 66.2
Maryland,67.2,Close to Nation Average of 66.2
Alaska,67.6,Close to Nation Average of 66.2
California,67.6,Close to Nation Average of 66.2
Maine,67.7,Close to Nation Average of 66.2
Wisconsin,67.7,Close to Nation Average of 66.2
Massachusetts,68,Close to Nation Average of 66.2
Iowa,68.2,Close to Nation Average of 66.2
New Hampshire,68.2,Close to Nation Average of 66.2
Utah,68.2,Close to Nation Average of 66.2
Washington,68.3,Close to Nation Average of 66.2
Hawaii,68.4,Close to Nation Average of 66.2
Colorado,68.9,Close to Nation Average of 66.2
Vermont,69.1,Close to Nation Average of 66.2
Montana,69.3,Close to Nation Average of 66.2
Minnesota,69.7,Close to Nation Average of 66.2
Nebraska,69.7,Close to Nation Average of 66.2
South Dakota,70,Close to Nation Average of 66.2
District of Columbia,70.1,Close to Nation Average of 66.2
North Dakota,70.4,Close to Nation Average of 66.2
