Service,2000.00,2001.00,2002.00,2003.00,2004.00,2005.00,2006.00,2007.00,2008.00,2009.00,2010.00,2011.00,2012.00,2013.00,2014(2)
Army,4632,4995,5244,5507,6742,7564,9363,14519,19618,18839,18580,20947,19204,12655,7128
Navy,2464,2461,2683,2735,2812,2856,2665,2824,2820,3008,2853,3023,3305,2337,1541
Air Force,2077,2248,2424,2625,2809,2655,2571,2738,2625,3235,3397,2524,3655,2545,1727
Marines,1785,1915,2056,1948,2156,2456,2538,3136,3399,3795,4358,5131,4242,2713,1686
Total,10958,11619,12407,12815,14519,15531,17137,23217,28462,28877,29188,31625,30406,20250,12082
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
